data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16
1,0,9,20160102,0,86,0,5,20150727,NaN,28,0,1,20190903,20190904,22
1,0,9,20160102,0,86,0,5,20150727,NaN,13,57,48,20190713,20190715,46
1,0,9,20160102,0,86,0,5,20150727,NaN,28,86,40,20190904,20190904,3
1,0,9,20160102,0,86,0,5,20150727,NaN,26,82,81,20180720,20180720,4
1,0,9,20160102,0,86,0,5,20150727,NaN,26,62,57,20160205,20160205,6
1,0,9,20160102,0,86,0,5,20150727,NaN,23,52,45,20200330,20200330,5
1,0,9,20160102,0,86,0,5,20150727,NaN,31,64,57,20151211,20151212,22
1,0,9,20160102,0,86,0,5,20150727,NaN,15,57,48,20160602,20160603,24
1,0,9,20160102,0,86,0,5,20150727,NaN,20,57,48,20150919,20150919,5
1,0,9,20160102,0,86,0,5,20150727,NaN,25,57,48,20160102,20160104,46.99
1,0,9,20160102,0,86,0,5,20150727,NaN,23,57,48,20200311,20200312,20
1,0,9,20160102,0,86,0,5,20150727,NaN,15,62,57,20160129,20160201,64.99
1,0,9,20160102,0,147,2,1,20151126,NaN,15,57,48,20160330,20160330,0
1,0,9,20160102,0,147,2,1,20151126,NaN,23,57,48,20170723,20170725,43
1,0,9,20160102,0,147,2,1,20151126,NaN,18,57,48,20160102,20160102,1
1,0,9,20160102,0,147,2,1,20151126,NaN,26,57,48,20190512,20190513,19
1,0,9,20160102,0,147,2,1,20151126,NaN,20,57,48,20180518,20180518,5
1,0,9,20160102,0,147,2,1,20151126,NaN,31,57,48,20161018,20161018,2
1,0,9,20160102,0,147,2,1,20151126,NaN,23,57,48,20170725,20170728,78
1,0,9,20160102,0,147,2,1,20151126,NaN,26,57,48,20190515,20190516,16
1,0,9,20160102,0,147,2,1,20151126,NaN,23,62,50,20190515,20190515,3
1,0,9,20160102,0,147,2,1,20151126,NaN,26,57,48,20170707,20170708,21
1,0,9,20160104,0,222,1,2,20020813,NaN,20,57,48,20170720,20170720,0
1,0,9,20160104,0,222,1,2,20020813,NaN,26,0,1,20140303,20140303,6
1,0,9,20160104,0,222,1,2,20020813,NaN,25,57,48,20140305,20140305,1
1,0,9,20160104,0,222,1,2,20020813,NaN,25,57,48,20161108,20161108,0
1,0,9,20160104,0,222,1,2,20020813,NaN,31,57,48,20140718,20140719,17
1,0,9,20160104,0,222,1,2,20020813,NaN,18,57,48,20170720,20170721,14
1,0,9,20160104,0,222,1,2,20020813,NaN,31,0,1,20140724,20140724,5
1,0,9,20160104,0,222,1,2,20020813,NaN,26,0,1,20170720,20170720,1
1,0,9,20160104,0,222,1,2,20020813,NaN,20,0,1,20190802,20190802,0
1,0,9,20160104,0,222,1,2,20020813,NaN,25,57,48,20161108,20161108,3
1,0,9,20160108,0,208,1,4,20150901,20161014,15,62,57,20160107,20160108,28
1,0,9,20160109,0,62,0,2,20040323,20170417,25,62,57,20160108,20160109,24
1,0,9,20160109,0,62,0,2,20040323,20170417,25,86,40,20140217,20140218,24
1,0,9,20160109,0,62,0,2,20040323,20170417,25,0,1,20160108,20160108,1
1,0,9,20160109,0,62,0,2,20040323,20170417,13,62,57,20151129,20151130,25
1,0,9,20160109,0,62,0,2,20040323,20170417,20,64,57,20140110,20140111,28.99
1,0,9,20160109,0,62,0,2,20040323,20170417,13,2,2,20150706,20150706,3
1,0,9,20160112,0,9,0,8,20111029,20181219,23,7,8,20170223,20170224,15
1,0,9,20160112,0,9,0,8,20111029,20181219,23,70,61,20150311,20150312,25..99
1,0,9,20160112,0,9,0,8,20111029,20181219,23,70,61,20150322,20150331,221
1,0,9,20160112,0,9,0,8,20111029,20181219,23,7,8,20140701,20140701,2
1,0,9,20160112,0,9,0,8,20111029,20181219,18,62,57,20150727,20150729,49
1,0,9,20160112,0,9,0,8,20111029,20181219,25,57,48,20170207,20170207,8
1,0,9,20160112,0,9,0,8,20111029,20181219,23,70,61,20150313,20150313,9
1,0,9,20160112,0,9,0,8,20111029,20181219,23,72,60,20150402,20150404,40..99
1,0,9,20160113,0,222,1,2,20150827,20190225,25,57,48,20160222,20160222,1
1,0,9,20160113,0,222,1,2,20150827,20190225,11,86,40,20160113,20160113,1
1,0,9,20160113,0,222,1,2,20150827,20190225,13,53,46,20180427,20180428,23
1,0,9,20160113,0,222,1,2,20150827,20190225,18,63,66,20181015,20181015,0
1,0,9,20160113,0,222,1,2,20150827,20190225,23,52,45,20150901,20150902,19
1,0,9,20160113,0,222,1,2,20150827,20190225,26,64,66,20180402,20180402,0
1,0,9,20160113,0,222,1,2,20150827,20190225,13,57,48,20150910,20150910,2
1,0,9,20160113,0,222,1,2,20150827,20190225,26,57,48,20160123,20160123,0
1,0,9,20160114,0,30,2,0,20150223,20200220,13,57,48,20190815,20190816,20
1,0,9,20160114,0,30,2,0,20150223,20200220,25,57,48,20171031,20171031,2
1,0,9,20160114,0,30,2,0,20150223,20200220,23,57,48,20180827,20180827,7
1,0,9,20160114,0,30,2,0,20150223,20200220,27,70,69,20160115,20160115,1
1,0,9,20160114,0,30,2,0,20150223,20200220,11,70,69,20160511,20160511,1
1,0,9,20160114,0,30,2,0,20150223,20200220,23,57,48,20181016,20181016,3
1,0,9,20160114,0,30,2,0,20150223,20200220,23,70,69,20160113,20160113,1
1,0,9,20160114,0,30,2,0,20150223,20200220,23,70,60,20150318,20150318,4
1,0,9,20160114,0,30,2,0,20150223,20200220,18,70,69,20160518,20160518,0
1,0,9,20160114,0,139,2,0,20160111,20161124,4,62,50,20160114,20160115,24
1,0,9,20160114,0,139,2,0,20160111,20161124,25,57,48,20160113,20160114,25
1,0,9,20160115,0,72,0,2,20110815,NaN,13,51,44,20151230,20151231,25
1,0,9,20160115,0,72,0,2,20110815,NaN,13,51,44,20151230,20151231,25
1,0,9,20160115,0,72,0,2,20110815,NaN,23,70,61,20170521,20170522,27
1,0,9,20160115,0,72,0,2,20110815,NaN,23,70,61,20170521,20170522,27
1,0,9,20160115,0,72,0,2,20110815,NaN,18,64,57,20180706,20180707,16
1,0,9,20160115,0,72,0,2,20110815,NaN,18,64,57,20180706,20180707,16
1,0,9,20160118,0,131,0,1,20150519,20160223,25,57,48,20150917,20150919,49
1,0,9,20160118,0,131,0,1,20150519,20160223,25,70,61,20151117,20151118,28
1,0,9,20160118,0,131,0,1,20150519,20160223,25,57,48,20160117,20160118,22
1,0,9,20160118,0,131,0,1,20150519,20160223,25,57,48,20160113,20160114,25
1,0,9,20160118,0,131,0,1,20150519,20160223,25,57,48,20160212,20160213,25.99
1,0,9,20160118,0,131,0,1,20150519,20160223,25,62,57,20150923,20150924,23
1,0,9,20160118,0,131,0,1,20150519,20160223,25,57,48,20160119,20160120,22
1,0,9,20160121,0,141,2,1,20050119,NaN,13,1,2,20150611,20150612,20
1,0,9,20160121,0,141,2,1,20050119,NaN,23,57,48,20160121,20160121,1
1,0,9,20160121,0,141,2,1,20050119,NaN,23,70,61,20190911,20190911,4
