,상담대분류,상담중분류,상담소분류,상담일자,상품구분,급지,해지일,AS신청유형,AS원인유형,AS처리유형,AS처리시간,cnslt_rscs_diff,rscs_yn
0,4,10,27,2016-01-01,0,3,2016-06-15,25,86,68,-1,166,False
1,4,10,27,2016-01-01,0,4,2015-12-31,25,86,68,-1,-1,False
2,4,10,27,2016-01-01,0,2,1999-01-01,25,86,68,-1,-6209,False
3,2,11,56,2016-01-01,1,1,1999-01-01,18,75,55,16,-6209,False
4,4,10,27,2016-01-02,0,3,1999-01-01,25,86,68,-1,-6210,False
5,4,10,27,2016-01-02,0,0,2018-02-03,25,86,68,-1,763,False
6,4,10,27,2016-01-02,0,3,2016-01-04,25,86,68,-1,2,True
7,4,10,27,2016-01-02,0,3,2016-03-29,25,86,68,-1,87,False
8,4,10,27,2016-01-02,0,2,2018-03-13,25,86,68,-1,801,False
9,4,10,27,2016-01-02,0,3,2017-12-29,25,86,68,-1,727,False
10,4,10,27,2016-01-02,0,4,2016-08-05,25,86,68,-1,216,False
11,2,11,22,2016-01-02,1,5,1999-01-01,26,68,54,46.99,-6210,False
12,2,11,22,2016-01-02,1,5,1999-01-01,15,73,60,64.99,-6210,False
13,2,11,22,2016-01-02,1,1,1999-01-01,18,68,54,1,-6210,False
14,2,11,22,2016-01-04,1,2,1999-01-01,25,86,68,-1,-6212,False
15,3,8,57,2016-01-04,1,8,2015-09-14,25,86,68,-1,-112,False
16,3,8,57,2016-01-04,1,8,2015-09-14,25,86,68,-1,-112,False
17,4,9,60,2016-01-04,0,1,2017-04-10,25,86,68,-1,462,False
18,4,10,27,2016-01-04,0,1,2015-10-14,25,86,68,-1,-82,False
19,4,10,27,2016-01-04,0,4,2015-11-13,25,86,68,-1,-52,False
20,4,10,27,2016-01-04,0,0,1999-01-01,25,86,68,-1,-6212,False
21,4,10,27,2016-01-04,0,2,2016-07-07,25,86,68,-1,185,False
22,4,10,27,2016-01-04,0,5,2016-03-02,25,86,68,-1,58,True
23,4,10,27,2016-01-04,0,2,2018-08-16,25,86,68,-1,955,False
24,2,11,23,2016-01-04,1,2,2016-01-06,25,86,68,-1,2,True
25,4,10,27,2016-01-04,0,2,2015-12-30,25,86,68,-1,-5,False
26,4,10,27,2016-01-04,0,2,2016-03-16,25,86,68,-1,72,False
27,4,10,27,2016-01-04,0,6,1999-01-01,25,86,68,-1,-6212,False
28,4,10,27,2016-01-04,0,1,2018-08-28,25,86,68,-1,967,False
29,4,10,27,2016-01-04,0,4,1999-01-01,25,86,68,-1,-6212,False
30,4,10,27,2016-01-04,0,0,1999-01-01,25,86,68,-1,-6212,False
31,4,10,27,2016-01-04,0,2,2018-02-27,25,86,68,-1,785,False
32,3,4,57,2016-01-04,1,0,2015-12-11,25,86,68,-1,-24,False
33,2,11,23,2016-01-05,1,7,1999-01-01,25,86,68,-1,-6213,False
34,2,11,56,2016-01-05,1,0,1999-01-01,27,3,3,0,-6213,False
35,2,11,56,2016-01-05,1,0,1999-01-01,13,73,60,0,-6213,False
36,4,10,27,2016-01-05,0,3,2017-10-20,25,86,68,-1,654,False
37,2,11,23,2016-01-05,1,8,2018-06-25,26,73,60,0,902,False
38,2,11,23,2016-01-05,1,8,2018-06-25,28,73,60,22,902,False
39,2,11,56,2016-01-05,1,0,2018-09-06,25,86,68,-1,975,False
40,4,10,27,2016-01-05,0,6,2016-01-29,25,86,68,-1,24,True
41,3,5,47,2016-01-05,1,1,2019-07-26,25,86,68,-1,1298,False
42,2,11,23,2016-01-05,1,2,1999-01-01,25,86,68,-1,-6213,False
43,4,10,27,2016-01-05,0,5,1999-01-01,25,86,68,-1,-6213,False
44,4,10,27,2016-01-05,0,2,2017-12-06,25,86,68,-1,701,False
45,4,10,27,2016-01-05,0,0,1999-01-01,25,86,68,-1,-6213,False
46,4,10,27,2016-01-05,0,5,1999-01-01,25,86,68,-1,-6213,False
47,3,7,47,2016-01-05,1,3,2016-01-07,25,86,68,-1,2,True
48,4,10,27,2016-01-05,0,4,2020-06-05,25,86,68,-1,1613,False
49,4,10,27,2016-01-05,0,3,2016-01-06,25,86,68,-1,1,True
50,4,10,27,2016-01-05,0,2,2019-07-19,25,86,68,-1,1291,False
51,2,18,48,2016-01-05,1,1,2016-01-07,25,86,68,-1,2,True
52,3,7,47,2016-01-05,1,3,2016-01-04,25,86,68,-1,-1,False
53,2,11,23,2016-01-06,1,5,1999-01-01,25,86,68,-1,-6214,False
54,4,10,27,2016-01-06,0,3,1999-01-01,25,86,68,-1,-6214,False
55,4,10,27,2016-01-06,0,3,1999-01-01,25,86,68,-1,-6214,False
56,4,10,27,2016-01-06,0,0,1999-01-01,25,86,68,-1,-6214,False
57,4,10,27,2016-01-06,0,1,1999-01-01,25,86,68,-1,-6214,False
